HYPERTENSION,DIABETES,HIGH CHOLESTEROL,OBESITY,RENAL
71,81,73,81,58
46,57,63,85,41
65,42,74,75,55
84,80,67,77,66
59,66,61,58,53
38,67,75,68,80
82,86,89,56,53
89,79,81,34,77
76,71,88,51,40
62,63,72,67,59
51,76,53,74,85
62,62,69,60,90
66,80,65,75,65
84,77,88,77,88
82,58,58,87,69
50,79,42,60,56
38,56,50,74,72
33,77,51,83,59
62,78,50,45,74
82,80,47,40,63
61,83,56,65,75
89,37,67,75,71
41,73,61,77,65
86,69,72,56,61
71,79,74,55,80
46,90,69,67,88
58,74,86,74,70
82,65,91,69,57
94,71,62,65,56
87,58,53,66,84
83,68,54,51,73
84,64,57,66,93
67,60,60,77,90
64,59,65,49,83
77,77,59,91,70
60,72,74,68,82
61,77,76,69,68
84,80,57,74,88
55,69,68,63,54
85,67,55,79,72
67,70,51,66,80
61,68,84,67,80
72,70,87,68,90
77,81,71,86,54
61,72,55,77,82
62,91,75,58,80
52,58,60,74,67
66,59,68,75,47
85,86,82,79,66
74,75,71,80,78
62,61,75,69,55
77,58,72,66,87
64,73,40,70,87
62,73,77,66,72
44,41,94,94,77
70,82,82,69,55
48,64,73,69,60
58,54,85,52,74
55,71,83,68,84
54,60,53,82,55
77,59,44,45,59
88,68,59,81,62
58,76,78,63,80
85,82,89,74,85
94,86,74,57,68
87,76,56,64,58
88,74,78,56,80
60,56,74,62,76
47,47,72,57,46
59,47,51,62,94
33,80,77,81,71
67,58,88,82,100
84,50,78,70,47
56,61,60,66,70
46,86,57,36,83
83,70,80,72,76
30,77,58,49,95
52,61,52,68,84
52,75,67,63,69
63,75,61,55,79
72,77,66,60,45
39,53,70,40,62
60,53,57,57,87
74,73,59,72,82
79,65,86,47,96
50,56,86,50,37
66,88,71,75,74
76,64,55,92,79
54,83,64,54,78
43,54,70,57,69
37,70,48,74,82
66,71,83,42,57
76,52,80,79,82
49,70,70,53,78
76,75,55,64,55
61,64,50,74,77
52,76,79,48,81
60,75,68,85,92
36,76,49,68,74
32,59,38,54,87
82,73,58,68,75
67,49,61,72,78
60,39,76,73,92
57,60,78,69,61
58,71,82,82,78
67,73,53,59,77
70,57,70,77,81
71,89,88,56,63
67,75,58,81,82
87,72,47,65,72
56,55,73,37,79
71,70,59,41,72
96,61,53,35,78
78,49,75,65,45
83,73,61,77,84
52,78,80,37,79
64,63,66,67,77
83,54,71,71,66
87,69,86,58,63
77,74,69,70,79
60,13,66,88,52
69,62,62,46,72
33,22,66,39,76
82,71,71,58,84
49,69,53,60,44
66,82,71,58,51
62,52,55,62,68
67,38,74,61,70
56,65,64,56,68
69,87,71,77,67
47,82,78,68,78
73,80,75,58,59
47,67,82,44,66
63,52,68,69,62
63,85,63,71,91
33,87,58,56,58
82,94,66,73,92
79,68,45,66,74
80,74,52,59,74
81,65,66,70,41
52,82,80,70,94
90,75,80,53,81
41,69,70,65,86
53,95,79,53,90
56,60,62,37,77
45,86,74,65,64
46,53,73,46,90
63,81,59,70,52
61,65,54,69,63
77,67,65,84,82
59,70,69,75,48
72,73,74,37,92
78,81,58,60,69
45,67,82,60,59
63,75,60,59,75
32,54,50,59,68
75,68,74,56,76
36,71,78,47,92
60,55,55,68,53
68,89,75,64,57
76,74,70,42,80
61,76,63,67,89
73,59,63,43,90
82,67,84,59,54
73,70,52,41,63
87,63,83,64,87
80,58,57,59,45
73,70,72,56,88
84,42,78,53,78
74,85,76,66,67
82,52,51,90,52
63,74,56,49,59
62,92,84,60,67
77,56,64,72,81
56,87,79,56,55
64,67,83,65,64
94,51,73,57,63
66,63,53,66,63
42,61,81,45,68
82,73,78,41,87
82,69,65,57,86
59,75,80,78,64
68,83,75,69,89
39,60,82,34,59
84,79,60,75,54
84,66,81,62,64
47,68,72,38,78
65,65,58,68,70
32,73,74,65,67
33,66,63,64,73
76,74,40,62,71
62,74,85,45,54
62,69,49,66,58
67,81,65,62,64
74,90,50,65,73
71,77,82,55,81
69,83,49,60,81
73,72,79,56,72
87,72,65,81,73
79,82,88,65,88
76,77,51,59,91
89,87,61,65,57
49,81,74,67,79
39,35,66,57,64
83,82,85,64,51
55,63,40,59,35
86,91,66,80,66
62,60,65,53,67
55,57,71,74,82
48,71,92,48,61
52,81,80,54,90
38,66,73,70,76
74,73,73,39,84
77,69,79,82,75
73,83,47,53,65
67,73,72,50,79
53,94,57,53,43
46,69,76,53,62
79,68,94,36,76
61,63,90,41,55
67,97,44,55,88
81,82,81,87,76
80,72,62,61,62
92,62,39,66,84
68,72,70,82,66
47,71,81,66,82
38,74,76,43,87
59,57,93,54,49
79,87,67,67,72
66,73,82,60,87
68,62,64,48,83
84,85,61,72,79
36,65,70,62,75
69,66,87,42,79
60,53,58,62,59
72,84,78,60,96
62,78,73,53,62
71,76,85,40,82
78,57,81,65,55
27,86,37,95,78
50,87,76,54,79
48,61,84,60,71
58,77,72,46,76
62,73,82,70,88
70,87,67,87,59
60,66,70,34,80
59,74,80,49,79
58,84,84,44,89
40,88,74,88,76
47,79,59,63,76
60,77,66,75,78
84,68,58,78,74
52,82,85,78,27
54,63,71,63,51
76,73,74,55,77
68,83,70,60,70
59,68,55,81,76
54,90,68,75,65
73,72,38,77,61
60,65,70,42,62
90,82,73,71,62
80,70,65,62,59
27,76,82,80,76
76,78,83,51,76
60,63,47,56,82
66,64,45,56,85
63,81,47,63,87
31,74,53,68,80
60,57,69,66,77
55,61,70,71,60
73,38,73,81,59
47,73,61,78,69
77,81,50,43,70
83,60,87,67,64
73,63,80,65,54
53,67,52,70,55
75,74,83,59,58
61,85,52,59,64
69,68,74,63,37
39,75,73,71,41
64,57,80,82,64
78,81,57,40,84
56,72,54,58,73
62,63,91,70,55
91,64,50,78,77
61,66,55,70,67
58,65,60,83,73
72,70,78,62,77
42,71,40,65,87
49,87,54,82,81
75,66,58,57,93
63,83,62,75,79
76,71,55,78,83
62,65,47,62,89
85,62,88,78,92
47,82,61,70,72
35,72,91,95,87
59,55,63,82,39
49,52,90,71,87
61,59,34,75,69
72,70,75,62,60
70,83,81,80,52
88,84,75,60,68
53,65,68,58,58
61,78,63,46,46
63,81,63,79,84
68,62,65,82,61
69,53,51,83,79
75,64,52,75,82
