year,SEX,Diagnosis_Code,count
2016,FEMALE,E120,11
2016,FEMALE,E121,1
2016,FEMALE,E122,2
2016,FEMALE,E123,5
2016,FEMALE,E124,1
2016,FEMALE,E127,3
2016,FEMALE,E129,2
2016,FEMALE,E132,2
2016,FEMALE,E133,2
2016,FEMALE,E136,7
2016,FEMALE,E137,2
2016,FEMALE,E138,4
2016,FEMALE,E142,1
2016,FEMALE,E145,1
2016,FEMALE,E146,2
2016,FEMALE,E148,5
2016,FEMALE,E149,4
2016,FEMALE,E660,180
2016,FEMALE,E661,1
2016,FEMALE,E662,12
2016,FEMALE,E668,1
2016,FEMALE,E669,8
2016,FEMALE,E780,116
2016,FEMALE,E782,4
2016,FEMALE,E784,2
2016,FEMALE,E785,60
2016,FEMALE,I10X,3
2016,FEMALE,I120,4
2016,FEMALE,I129,8
2016,FEMALE,I152,1
2016,FEMALE,I158,5
2016,FEMALE,I159,9
2016,FEMALE,N159,2
2016,FEMALE,N170,1
2016,FEMALE,N179,2
2016,FEMALE,N180,3
2016,FEMALE,N188,2
2016,MALE,E101,3
2016,MALE,E102,2
2016,MALE,E103,4
2016,MALE,E104,3
2016,MALE,E106,1
2016,MALE,E107,7
2016,MALE,E112,7
2016,MALE,E113,1
2016,MALE,E114,12
2016,MALE,E116,24
2016,MALE,E117,4
2016,MALE,E118,1
2016,MALE,E119,2
2016,MALE,E120,3
2016,MALE,E121,1
2016,MALE,E122,1
2016,MALE,E124,1
2016,MALE,E127,2
2016,MALE,E129,7
2016,MALE,E132,1
2016,MALE,E133,1
2016,MALE,E136,3
2016,MALE,E137,2
2016,MALE,E138,2
2016,MALE,E140,1
2016,MALE,E141,1
2016,MALE,E142,12
2016,MALE,E143,1
2016,MALE,E144,1
2016,MALE,E146,13
2016,MALE,E148,4
2016,MALE,E149,14
2016,MALE,E660,90
2016,MALE,E661,2
2016,MALE,E662,4
2016,MALE,E668,2
2016,MALE,E669,2
2016,MALE,E780,96
2016,MALE,E782,3
2016,MALE,E784,3
2016,MALE,E785,51
2016,MALE,I10X,8
2016,MALE,I120,10
2016,MALE,I129,12
2016,MALE,I152,2
2016,MALE,I158,2
2016,MALE,I159,3
2016,MALE,N159,2
2016,MALE,N171,1
2016,MALE,N179,4
2016,MALE,N180,1
2016,MALE,N188,10
2017,FEMALE,E101,2
2017,FEMALE,E102,5
2017,FEMALE,E103,1
2017,FEMALE,E104,2
2017,FEMALE,E105,2
2017,FEMALE,E107,7
2017,FEMALE,E110,7
2017,FEMALE,E111,2
2017,FEMALE,E112,4
2017,FEMALE,E113,1
2017,FEMALE,E114,3
2017,FEMALE,E116,52
2017,FEMALE,E117,4
2017,FEMALE,E118,3
2017,FEMALE,E119,2
2017,FEMALE,E120,5
2017,FEMALE,E122,4
2017,FEMALE,E123,2
2017,FEMALE,E125,1
2017,FEMALE,E126,2
2017,FEMALE,E127,4
2017,FEMALE,E128,2
2017,FEMALE,E129,5
2017,FEMALE,E131,2
2017,FEMALE,E136,1
2017,FEMALE,E137,1
2017,FEMALE,E138,1
2017,FEMALE,E140,1
2017,FEMALE,E142,9
2017,FEMALE,E144,3
2017,FEMALE,E145,3
2017,FEMALE,E146,7
2017,FEMALE,E147,3
2017,FEMALE,E148,6
2017,FEMALE,E149,5
2017,FEMALE,E660,147
2017,FEMALE,E661,5
2017,FEMALE,E662,3
2017,FEMALE,E668,3
2017,FEMALE,E669,16
2017,FEMALE,E780,147
2017,FEMALE,E782,2
2017,FEMALE,E784,2
2017,FEMALE,E785,76
2017,FEMALE,I10X,10
2017,FEMALE,I120,7
2017,FEMALE,I129,13
2017,FEMALE,I152,1
2017,FEMALE,I158,3
2017,FEMALE,I159,10
2017,FEMALE,N179,5
2017,FEMALE,N180,2
2017,FEMALE,N188,6
2017,FEMALE,O102,2
2017,MALE,E101,1
2017,MALE,E102,3
2017,MALE,E103,8
2017,MALE,E104,3
2017,MALE,E106,1
2017,MALE,E107,12
2017,MALE,E110,1
2017,MALE,E111,1
2017,MALE,E112,17
2017,MALE,E114,9
2017,MALE,E115,2
2017,MALE,E116,35
2017,MALE,E117,4
2017,MALE,E119,4
2017,MALE,E120,5
2017,MALE,E122,3
2017,MALE,E124,1
2017,MALE,E125,1
2017,MALE,E126,3
2017,MALE,E127,4
2017,MALE,E129,5
2017,MALE,E132,2
2017,MALE,E134,1
2017,MALE,E136,1
2017,MALE,E138,3
2017,MALE,E139,1
2017,MALE,E141,2
2017,MALE,E142,10
2017,MALE,E145,3
2017,MALE,E146,12
2017,MALE,E148,8
2017,MALE,E149,5
2017,MALE,E660,103
2017,MALE,E661,1
2017,MALE,E662,1
2017,MALE,E669,7
2017,MALE,E780,117
2017,MALE,E782,1
2017,MALE,E784,8
2017,MALE,E785,80
2017,MALE,I10X,14
2017,MALE,I120,10
2017,MALE,I129,16
2017,MALE,I151,1
2017,MALE,I152,3
2017,MALE,I158,4
2017,MALE,I159,7
2017,MALE,N159,5
2017,MALE,N179,12
2017,MALE,N180,3
2017,MALE,N188,11
2017,MALE,O102,1
2018,FEMALE,E100,1
2018,FEMALE,E101,1
2018,FEMALE,E102,6
2018,FEMALE,E103,4
2018,FEMALE,E104,10
2018,FEMALE,E105,36
2018,FEMALE,E106,2
2018,FEMALE,E107,11
2018,FEMALE,E110,5
2018,FEMALE,E112,7
2018,FEMALE,E113,4
2018,FEMALE,E114,9
2018,FEMALE,E116,35
2018,FEMALE,E117,20
2018,FEMALE,E118,5
2018,FEMALE,E119,2
2018,FEMALE,E120,5
2018,FEMALE,E121,2
2018,FEMALE,E122,2
2018,FEMALE,E123,1
2018,FEMALE,E125,2
2018,FEMALE,E126,2
2018,FEMALE,E127,3
2018,FEMALE,E128,3
2018,FEMALE,E129,12
2018,FEMALE,E131,1
2018,FEMALE,E132,1
2018,FEMALE,E136,1
2018,FEMALE,E137,2
2018,FEMALE,E138,3
2018,FEMALE,E141,1
2018,FEMALE,E142,2
2018,FEMALE,E145,3
2018,FEMALE,E146,9
2018,FEMALE,E147,1
2018,FEMALE,E148,7
2018,FEMALE,E149,23
2018,FEMALE,E660,163
2018,FEMALE,E661,1
2018,FEMALE,E662,13
2018,FEMALE,E668,2
2018,FEMALE,E669,12
2018,FEMALE,E780,193
2018,FEMALE,E782,7
2018,FEMALE,E784,4
2018,FEMALE,E785,96
2018,FEMALE,I10X,16
2018,FEMALE,I120,6
2018,FEMALE,I129,8
2018,FEMALE,I152,1
2018,FEMALE,I158,6
2018,FEMALE,I159,9
2018,FEMALE,N170,1
2018,FEMALE,N179,5
2018,FEMALE,N188,2
2018,FEMALE,O102,3
2018,MALE,E101,1
2018,MALE,E102,3
2018,MALE,E103,6
2018,MALE,E104,4
2018,MALE,E105,16
2018,MALE,E106,1
2018,MALE,E107,6
2018,MALE,E109,2
2018,MALE,E110,2
2018,MALE,E111,2
2018,MALE,E112,17
2018,MALE,E113,2
2018,MALE,E114,13
2018,MALE,E115,1
2018,MALE,E116,27
2018,MALE,E117,29
2018,MALE,E118,6
2018,MALE,E119,3
2018,MALE,E120,2
2018,MALE,E122,7
2018,MALE,E123,1
2018,MALE,E124,5
2018,MALE,E125,1
2018,MALE,E126,3
2018,MALE,E127,5
2018,MALE,E128,5
2018,MALE,E129,9
2018,MALE,E131,1
2018,MALE,E132,1
2018,MALE,E133,1
2018,MALE,E135,1
2018,MALE,E136,3
2018,MALE,E137,1
2018,MALE,E138,2
2018,MALE,E139,1
2018,MALE,E141,4
2018,MALE,E142,3
2018,MALE,E143,1
2018,MALE,E144,4
2018,MALE,E145,3
2018,MALE,E146,14
2018,MALE,E147,2
2018,MALE,E148,6
2018,MALE,E149,15
2018,MALE,E660,99
2018,MALE,E661,1
2018,MALE,E662,4
2018,MALE,E668,5
2018,MALE,E669,7
2018,MALE,E780,174
2018,MALE,E782,8
2018,MALE,E784,6
2018,MALE,E785,101
2018,MALE,I10X,15
2018,MALE,I120,3
2018,MALE,I129,17
2018,MALE,I158,5
2018,MALE,I159,9
2018,MALE,N159,1
2018,MALE,N179,14
2018,MALE,N180,1
2018,MALE,N188,3
2018,MALE,O102,2
2019,FEMALE,E101,1
2019,FEMALE,E102,2
2019,FEMALE,E103,12
2019,FEMALE,E104,12
2019,FEMALE,E105,18
2019,FEMALE,E106,1
2019,FEMALE,E107,20
2019,FEMALE,E110,4
2019,FEMALE,E111,1
2019,FEMALE,E112,10
2019,FEMALE,E113,3
2019,FEMALE,E114,7
2019,FEMALE,E116,65
2019,FEMALE,E117,11
2019,FEMALE,E118,9
2019,FEMALE,E119,4
2019,FEMALE,E120,4
2019,FEMALE,E121,1
2019,FEMALE,E122,4
2019,FEMALE,E123,1
